Name,Position,Age,Nat,Height,Weight,Personality,Club,Transfer Value,Av Rat,Gls,Pens S,Pen/R,Shot/90,Shot %,ShT/90,xG,Asts/90,Ps C/90,Pas %,K Ps/90,Pr Passes,CCC,Cr A,Cr C/A,Tck/90,Tck R,Pres A,Pres C,K Tck,Int/90,Clear,Fls,Aer A/90,Hdrs W/90,Hdr %,Gl Mst,Drb/90,FA,Dist/90,Yel,Red,Off,Apps,Mins,Shots,Ast,Pens,Mins/Gm,ShT,Hdrs A,Cr C,Distance,Drb,Hdrs,Itc,K Pas,Pas A,Ps C,Tck A,Tck C,Expires,Wage,Preferred Foot,K Hdrs/90,Blk/90,xG/shot,Sprints/90,Poss Won/90,Poss Lost/90,Pres A/90,Pres C/90,Pr passes/90,xA/90,Blk,xGP,xSv %,Conv %,OP-KP/90,Svt,xGP/90,OP-KP,Sv %,Svh,Svp,Con/90,Cln/90,NP-xG/90,Pens Saved Ratio,NP-xG,Division,Style,Media Description,Media Handling,FK Shots,Ch C/90,Clr/90,Crs A/90,Cr C/90,Goals Outside Box,Hdrs L/90,K Tck/90,OP-Cr %,OP-Crs A/90,OP-Crs C/90,Ps A/90,Shts Blckd/90,Shots Outside Box/90,xG/90,Saves/90,Inf,Rec
Julian Eitschberger,D/WB (R),20,GER,"5'10""",71 kg,Fairly Loyal,RW Essen,£130K - £1.3M,6.7,0,0,-,0.61,22%,0.14,1.23,-,40.18,85%,0.41,87,4,64,18%,1.7,60%,117,28,0,2.24,19,21,5.63,2.78,49%,0,2.31,13,12.4km,3,0,0,15,"1,326",9,0,0,88.4,2,83,12,182.5km,34,41,33,6,695,592,42,25,30/6/2026,"£5,000 p/w",Right,0.48,0.54,0.14,15.14,9.84,18.73,7.94,1.9,5.9,0.06,8,-,-,-,0.41,-,-,6,-,-,-,-,-,0.08,-,1.23,3. Liga,Physical,Full-back,Level-headed,0,0.27,1.29,4.34,0.81,1,2.85,0,19%,4.34,0.81,47.17,0.61,0.14,0.08,-,,- - -
Jonathan Burkardt,"AM (RL), ST (C)",24,GER,"5'11""",76 kg,Fairly Determined,Mainz 05,£5.6M - £8.2M,6.97,5,2,100%,1.97,37%,0.73,2.26,-,23.85,85%,0.73,13,3,12,8%,1.76,71%,88,31,0,1.35,2,13,7.05,0.52,7%,0,1.45,24,11.5km,1,0,11,12,868,19,0,2,72.33,7,68,1,110.8km,14,5,13,7,271,230,24,17,30/6/2026,"£29,000 p/w",Right,0,0.21,0.12,9.33,2.9,19.8,9.12,3.21,1.35,0.21,2,-,-,26%,0.73,-,-,7,-,-,-,-,-,0.23,-,2.26,Bundesliga,Leader,Striker,Level-headed,0,0.31,0.21,1.24,0.1,0,6.53,0,8%,1.24,0.1,28.1,0,0.31,0.23,-,,- - -
Isaac Mbenza,"AM (R), ST (C)",28,BEL,"6'2""",77 kg,Fairly Determined,Charleroi,£75K - £750K,6.53,3,0,-,2.18,33%,0.73,2.47,0.18,11.64,58%,-,0,0,0,-,1.18,68%,0,0,0,-,0,12,-,-,-,0,-,12,0.0km,0,0,0,11,990,24,2,0,90,8,0,0,0.0km,0,-,0,0,220,128,19,13,30/6/2025,"£7,500 p/w",Right,0,-,0.1,0,0,0,0,0,0,0.12,0,-,-,13%,0,-,-,0,-,-,-,-,-,0.22,-,2.47,Jupiler Pro League,Physical,Winger,Outspoken,0,-,0,0,0,0,-,0,-,0,0,20,0,0,0.22,-,,- - -
Hiroki Miyazawa,"D (C), DM, M/AM (C)",35,JPN,"6'0""",76 kg,Balanced,Sapporo,£0 - £90K,6.77,2,0,-,2.06,35%,0.73,7.82,0.13,22.07,80%,0.5,34,7,7,-,1.83,95%,115,30,2,0.43,9,37,1.03,0.63,61%,0,0.2,38,4.1km,3,1,2,33,"2,704",62,4,0,81.94,22,31,0,121.7km,6,19,13,15,830,663,58,55,31/1/2024,"£6,250 p/w",Right,0,0.1,0.13,3.16,3.66,5.29,3.83,1,1.13,0.12,3,-,-,3%,0.5,-,-,15,-,-,-,-,-,0.26,-,7.82,J1 League,Technical,Veteran midfielder,Media-friendly,0,0.23,0.3,0.23,0,0,0.4,0.07,0%,0.23,0,27.63,0,0.17,0.26,-,Wnt,- - -
Zelimkhan Bakaev,"M (R), AM (RLC)",28,RUS,"5'10""",75 kg,Professional,Khimki,£60K - £600K,7.29,3,1,50%,1.47,50%,0.73,4.44,0.13,14,70%,-,0,0,0,-,1,60%,0,0,0,-,0,19,-,-,-,0,-,18,0.0km,0,0,0,15,"1,350",22,2,2,90,11,0,0,0.0km,0,-,0,0,300,210,25,15,30/6/2024,"£18,250 p/w",Left,0,-,0.2,0,0,0,0,0,0,0.06,0,-,-,14%,0,-,-,0,-,-,-,-,-,0.19,-,2.84,Russian Premier League,Physical,Winger,Level-headed,0,-,0,0,0,0,-,0,-,0,0,20,0,0,0.3,-,,- - -
Adam Aznou,D/WB (L),18,ESP,"5'10""",68 kg,Fairly Ambitious,FC Bayern II,£240K - £2.4M,6.91,1,0,-,0.38,33%,0.13,0.39,-,34.24,86%,2.27,31,5,50,12%,2.39,86%,93,22,1,1.89,10,13,5.79,2.9,50%,0,1.89,9,12.8km,0,0,2,8,715,3,0,0,89.38,1,46,6,101.7km,15,23,15,18,315,272,22,19,30/6/2026,"£4,100 p/w",Left,0.13,0.5,0.13,12.71,9.82,18.13,11.71,2.77,3.9,0.09,4,-,-,33%,2.27,-,-,18,-,-,-,-,-,0.05,-,0.39,German Regional Division Bavaria,Technical,Full-back,Media-friendly,0,0.63,1.26,6.29,0.76,0,2.9,0.13,12%,6.29,0.76,39.65,0.5,0,0.05,-,Wnt,- - -
Manuel Wintzheimer,"AM (RLC), ST (C)",25,GER,"5'11""",78 kg,Balanced,RW Essen,£10K - £100K,6.73,4,1,100%,1.95,38%,0.73,2.18,0.24,19.95,88%,0.41,5,5,3,-,1.47,95%,87,17,0,1.63,4,19,9.04,1.87,21%,0,1.22,37,11.5km,0,0,9,15,"1,105",24,3,1,73.67,9,111,0,141.6km,15,23,20,5,279,245,19,18,30/6/2024,"£6,500 p/w",Right,0,0.33,0.09,5.78,1.71,20.61,7.09,1.38,0.41,0.29,4,-,-,17%,0.41,-,-,5,-,-,-,-,-,0.18,-,2.18,3. Liga,Technical,Striker,Level-headed,1,0.41,0.33,0.24,0,0,7.17,0,0%,0.24,0,22.72,0,0.57,0.18,-,,- - -
Mattes Hansen,"DM, M (C)",20,GER,"6'0""",77 kg,Fairly Professional,Paderborn,£250K - £2.6M,7.09,0,0,-,0.85,33%,0.28,1,0.21,49.01,88%,1.55,80,3,3,-,2.11,68%,116,47,3,1.69,10,10,3.31,2.39,72%,0,0.42,6,13.0km,0,0,0,14,"1,278",12,3,0,91.29,4,47,0,183.9km,6,34,24,22,788,696,44,30,30/6/2026,"£4,500 p/w",Right,0.07,0.35,0.08,11.48,9.72,7.96,8.17,3.31,5.63,0.16,5,-,-,-,1.55,-,-,22,-,-,-,-,-,0.07,-,1,Bundesliga 2,Leader,Defensive midfielder,"Media-friendly, Reserved",0,0.21,0.7,0.21,0,0,0.92,0.21,0%,0.21,0,55.49,0.14,0.35,0.07,-,,- - -
Simon Asta,D/WB (R),23,GER,"5'10""",75 kg,Balanced,Fürth,£800K - £1.7M,6.72,0,0,-,0.55,29%,0.16,0.55,0.16,30.32,83%,1.18,53,2,69,17%,3,84%,161,38,0,2.37,16,23,2.84,1.58,56%,0,2.92,11,13.5km,2,0,0,13 (1),"1,140",7,2,0,81.43,2,36,12,171.1km,37,20,30,15,463,384,45,38,30/6/2027,"£8,750 p/w",Right,0.08,0.39,0.08,17.61,9.71,19.11,12.71,3,4.18,0.06,5,-,-,-,1.18,-,-,15,-,-,-,-,-,0.04,-,0.55,Bundesliga 2,Physical,Full-back,Level-headed,0,0.16,1.26,5.45,0.95,0,1.26,0,17%,5.45,0.95,36.55,0.16,0.16,0.04,-,,- - -
Felipe Amorim,M/AM (C),33,BRA,"5'11""",76 kg,Balanced,Port,£6K - £60K,7.54,1,1,100%,1.45,50%,0.73,2.09,0.09,14.82,74%,-,0,0,0,-,1.18,76%,0,0,0,-,0,13,-,-,-,0,-,16,0.0km,0,0,0,11,990,16,1,1,90,8,0,0,0.0km,0,-,0,0,220,163,17,13,30/6/2024,"£5,500 p/w",Right,0,-,0.13,0,0,0,0,0,0,0.04,0,-,-,6%,0,-,-,0,-,-,-,-,-,0.12,-,1.29,Thai League,Creative,Experienced attacking midfielder,Media-friendly,0,-,0,0,0,0,-,0,-,0,0,20,0,0,0.19,-,,- - -
Kieran Dowell,"M (C), AM (RLC)",27,ENG,"6'1""",67 kg,Balanced,Rangers,£275K - £2.6M,6.3,0,0,-,1.61,0%,0,0.22,-,25.18,80%,0.54,4,0,1,-,2.14,100%,19,5,0,3.21,0,1,6.96,1.61,23%,0,2.14,1,13.7km,0,0,0,2,168,3,0,0,84,0,13,0,25.6km,4,3,6,1,59,47,4,4,31/5/2025,"£16,000 p/w",Left,0,1.07,0.07,12.32,12.32,16.61,10.18,2.68,2.14,0.01,2,-,-,-,0.54,-,-,1,-,-,-,-,-,0.12,-,0.22,cinch Premiership,Creative,Attacking midfielder,Level-headed,0,-,0,0.54,0,0,5.36,0,0%,0.54,0,31.61,0,0.54,0.12,-,,- - -
Harvey Vale,"D/WB (L), AM (RL)",21,ENG,"6'1""",74 kg,Balanced,Chelsea,£14M - £17.5M,7.1,1,0,-,-,100%,-,0.04,-,-,50%,-,0,0,0,-,-,-,1,0,0,-,0,0,-,-,-,0,-,0,-,0,0,0,0 (1),6,1,0,0,6,1,0,0,0.6km,0,-,0,0,2,1,0,-,30/6/2024,"£25,000 p/w",Left,-,-,0.04,-,-,-,-,-,-,-,0,-,-,100%,-,-,-,0,-,-,-,-,-,-,-,0.04,English Premier Division,Creative,Attacking full back,Media-friendly,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,,- - -
Mehdi Boussaïd,M/AM (RC),28,FRA,"5'9""",70 kg,Balanced,Hatta,£140K - £1.4M,6.79,0,0,-,1.73,42%,0.73,2.18,0.18,13.09,65%,-,0,0,0,-,0.82,82%,0,0,0,-,0,7,-,-,-,0,-,14,0.0km,0,0,0,11,990,19,2,0,90,8,0,0,0.0km,0,-,0,0,220,144,11,9,30/6/2024,"£12,750 p/w",Left,0,-,0.11,0,0,0,0,0,0,0.09,0,-,-,-,0,-,-,0,-,-,-,-,-,0.2,-,2.18,UAE Professional League,Technical,Winger,Media-friendly,0,-,0,0,0,0,-,0,-,0,0,20,0,0,0.2,-,,- - -
Brenden Aaronson,"M (C), AM (RLC)",24,USA,"5'10""",68 kg,Balanced,Leeds,£21M - £27M,7.04,5,2,100%,1.63,44%,0.72,4.76,0.07,29.08,85%,0.92,20,7,9,11%,1.44,73%,157,35,2,0.92,10,12,4.71,1.44,31%,0,1.9,17,12.7km,0,0,5,17,"1,377",25,1,2,81,11,72,1,195.0km,29,22,14,14,525,445,30,22,30/6/2024,"£22,000 p/w",Right,0,0.33,0.19,13.4,10.72,15.29,10.26,2.29,1.31,0.27,5,-,-,20%,0.92,-,-,14,-,-,-,-,-,0.26,-,3.97,Sky Bet Championship,Physical,Attacking midfielder,Media-friendly,0,0.46,0.65,0.59,0.07,1,3.27,0.13,11%,0.59,0.07,34.31,0.07,0.2,0.31,-,,- - -
Morgan Gibbs-White,"M (C), AM (RC)",24,ENG,"5'10""",72 kg,Balanced,Nottm Forest,£17M - £26M,6.78,2,0,-,1.08,67%,0.72,1.16,0.09,26.81,81%,1.26,28,2,24,9%,1.99,71%,136,33,1,1.35,7,10,4.33,1.62,38%,0,1.35,19,13.5km,0,0,3,13,997,12,1,0,76.69,8,48,4,149.0km,15,18,15,14,366,297,31,22,30/6/2026,"£50,000 p/w",Right,0,0.09,0.1,12.82,6.59,12.28,12.28,2.98,2.53,0.06,1,-,-,17%,1.08,-,-,12,-,-,-,-,-,0.1,-,1.16,English Premier Division,Technical,Attacking midfielder,Level-headed,1,0.18,0.63,2.17,0.36,0,2.71,0.09,17%,0.99,0.09,33.04,0.09,0.63,0.1,-,,- - -
Marius Marin,"DM, M (C)",26,ROU,"5'11""",69 kg,Spirited,Pisa,£230K - £2.3M,6.95,1,0,-,1.03,70%,0.72,0.69,-,37.73,88%,1.75,36,3,11,9%,2.58,81%,104,31,1,2.06,13,8,4.43,2.16,49%,0,0.62,7,12.6km,0,0,0,12,873,10,0,0,72.75,7,43,1,122.4km,6,21,20,17,414,366,31,25,30/6/2026,"£7,250 p/w",Right,0.72,0.31,0.07,12.27,12.89,12.06,10.72,3.2,3.71,0.07,3,-,-,10%,1.75,-,-,17,-,-,-,-,-,0.07,-,0.69,Italian Serie B,Leader,Midfielder,"Unflappable, Media-friendly",0,0.31,1.34,1.13,0.1,1,2.27,0.1,9%,1.13,0.1,42.68,0,0.41,0.07,-,,- - -
Jaime Seoane,"DM, M/AM (C)",27,ESP,"5'9""",73 kg,Fairly Ambitious,Oviedo,£160K - £6.4M,7.18,5,0,-,1.12,64%,0.72,1.11,0.32,41.19,90%,1.2,31,7,7,14%,1.68,58%,152,42,2,1.44,10,4,2.08,1.2,58%,0,1.92,11,12.5km,1,0,0,13,"1,123",14,4,0,86.38,9,26,1,156.4km,24,15,18,15,574,514,36,21,30/6/2024,"£15,000 p/w",Right,0,0.64,0.08,11.62,14.43,10.58,12.18,3.37,2.48,0.23,8,-,-,36%,1.2,-,-,15,-,-,-,-,-,0.09,-,1.11,Spanish Second Division,Technical,Midfielder,Level-headed,0,0.56,0.8,0.56,0.08,0,0.88,0.16,14%,0.56,0.08,46,0,0.24,0.09,-,,- - -
Rhian Brewster,"AM (RL), ST (C)",24,ENG,"5'10""",68 kg,Perfectionist,Sheff Utd,£8.6M - £10.5M,6.92,4,0,-,2.01,36%,0.72,3.03,0.24,19.93,85%,1.61,17,3,17,-,1.29,73%,96,19,0,1.21,7,23,8.76,2.41,28%,0,1.93,34,11.5km,5,0,10,14 (1),"1,120",25,3,0,74.67,9,109,1,142.9km,24,30,15,20,293,248,22,16,30/6/2026,"£34,000 p/w",Right,0,0.4,0.12,7.15,3.46,16.39,7.71,1.53,1.37,0.18,5,-,-,16%,0.96,-,-,12,-,-,-,-,-,0.24,-,3.03,Sky Bet Championship,Intelligent,Striker,Outspoken,1,0.24,0.56,1.37,0.08,2,6.35,0,6%,1.12,0,23.54,0,0.64,0.24,-,,- - -
Benjamin Nygren,"M (C), AM (RLC), ST (C)",23,SWE,"6'0""",69 kg,Fairly Loyal,FC Nordsjælland,£5.2M - £7.8M,6.88,1,0,-,2.61,26%,0.67,3.45,0.17,27.22,87%,1.1,25,2,9,-,1.43,89%,120,24,1,1.6,11,7,5.56,1.6,29%,0,1.1,7,13.8km,1,0,2,13 (1),"1,068",31,2,0,76.29,8,66,0,164.2km,13,19,19,13,373,323,19,17,31/12/2024,"£4,000 p/w",Left,0.08,0.17,0.11,11.46,9.69,20.9,10.11,2.02,2.11,0.08,2,-,-,3%,1.1,-,-,13,-,-,-,-,-,0.29,-,3.45,3F Superliga,Creative,Attacking midfielder,Level-headed,0,0.17,0.93,0.76,0,0,3.96,0.08,0%,0.76,0,31.43,0,0.76,0.29,-,,- - -
Ethan Galbraith,"DM, M/AM (C)",23,NIR,"5'9""",73 kg,Balanced,Leyton Orient,£18K - £170K,6.58,0,0,-,0.36,20%,0.07,0.56,0.07,35.47,84%,1.16,53,4,10,20%,1.95,71%,154,42,3,1.52,11,14,3.68,1.37,37%,0,0.79,11,12.0km,2,0,0,16 (3),"1,246",5,1,0,65.58,1,51,2,166.6km,11,19,21,16,582,491,38,27,30/6/2024,"£2,500 p/w",Right,0.07,0.14,0.11,9.75,9.53,14.23,11.12,3.03,3.83,0.1,2,-,-,-,1.16,-,-,16,-,-,-,-,-,0.04,-,0.56,Sky Bet League One,Technical,Midfielder,Level-headed,0,0.29,0.79,0.72,0.14,0,2.31,0.22,20%,0.72,0.14,42.04,0,0.07,0.04,-,,- - -
Philip Zinckernagel,"M (C), AM (RLC), ST (C)",29,DEN,"5'9""",70 kg,Fairly Ambitious,Bodø/Glimt,£3.6M - £6.8M,6.99,4,1,100%,2.41,62%,1.48,2.01,-,28.33,88%,3.7,14,0,32,18%,2.78,83%,68,18,0,1.85,5,6,3.89,1.3,33%,0,2.41,14,12.8km,1,0,1,5 (7),486,13,0,1,40.5,8,21,6,68.9km,13,7,10,20,173,153,18,15,30/6/2024,"£19,750 p/w",Right,0,0.19,0.15,14.44,6.3,10.56,12.59,3.33,2.59,0.16,1,-,-,31%,1.48,-,-,8,-,-,-,-,-,0.37,-,2.01,Norwegian Premier Division,Technical,Attacking midfielder,Media-friendly,2,-,0.93,5.93,1.11,0,2.59,0,19%,2.04,0.37,32.04,0,1.3,0.37,-,,- - -
Gaëtan Perrin,M/AM (RL),28,FRA,"5'7""",63 kg,Fairly Professional,AJ Auxerre,£170K - £1.7M,6.83,2,0,-,1.55,47%,0.72,1.3,0.1,27.03,85%,2.07,26,6,29,20%,2.38,79%,116,31,0,1.97,7,10,6.11,1.04,17%,0,2.69,13,12.5km,0,0,4,11,869,15,1,0,79,7,59,6,120.5km,26,10,19,20,307,261,29,23,30/6/2025,"£5,500 p/w",Right,0.21,0.1,0.09,14.71,6.01,13.36,12.01,3.21,2.69,0.13,1,-,-,13%,1.66,-,-,16,-,-,-,-,-,0.13,-,1.3,Ligue 1 Uber Eats,Technical,Winger,Media-friendly,2,0.62,0.72,3,0.62,0,5.07,0,21%,3,0.62,31.8,0,0.62,0.13,-,,- - -
Araújo Love,"M (L), AM (RLC)",31,BRA,"5'7""",69 kg,Fairly Determined,Al-Saqer,£12K - £120K,7.54,3,0,-,1.63,44%,0.72,2.97,0.06,14.67,71%,-,0,0,0,-,1.09,75%,0,0,0,-,0,15,-,-,-,0,-,22,0.0km,0,0,0,16 (1),"1,491",27,1,0,87.71,12,0,0,0.0km,0,-,0,0,340,243,24,18,30/6/2024,"£8,750 p/w",Left,0,-,0.11,0,0,0,0,0,0,0.08,0,-,-,11%,0,-,-,0,-,-,-,-,-,0.18,-,2.97,Saudi Second Division Group B,Leader,Attacking midfielder,Media-friendly,0,-,0,0,0,0,-,0,-,0,0,20.52,0,0,0.18,-,,- - -
Martín Satriano,ST (C),23,URU,"6'2""",75 kg,Resolute,RC Lens,£425K - £4.3M,6.85,2,0,-,3.56,29%,1.02,0.68,-,19.32,84%,-,0,0,0,-,2.03,100%,15,4,0,0.51,0,1,10.68,6.61,62%,0,0.51,5,8.4km,0,0,1,1 (7),177,7,0,0,22.12,2,21,0,16.5km,1,13,1,0,45,38,4,4,30/6/2024,"£17,000 p/w",Right,0,1.02,0.1,6.61,1.53,18.81,7.63,2.03,0,0,2,-,-,29%,0,-,-,0,-,-,-,-,-,0.35,-,0.68,Ligue 1 Uber Eats,Physical,Striker,Media-friendly,0,-,0,0,0,0,4.07,0,-,0,0,22.88,0,1.53,0.35,-,,- - -
Federico Bernardeschi,WB/M/AM (RL),30,ITA,"6'1""",77 kg,Fairly Determined,Toronto FC,£9.2M - £14M,7.36,1,0,-,1.69,42%,0.71,4.47,0.08,16.63,73%,0.23,11,0,28,12%,1.51,80%,29,10,0,0.15,2,35,0.71,0.3,42%,0,0.3,37,1.3km,0,0,0,26 (4),"2,392",45,2,0,79.73,19,19,3,34.0km,8,8,4,6,606,442,50,40,31/12/2025,"£97,000 p/w",Left,0.04,-,0.1,1.51,0.6,0.94,1.09,0.38,0.41,0.14,0,-,-,2%,0.15,-,-,4,-,-,-,-,-,0.17,-,4.47,Major League Soccer,Physical,Winger,Level-headed,0,-,0.08,1.05,0.11,0,0.41,0,11%,0.3,0.04,22.8,0,0,0.17,-,,- - -
Eray Cömert,D (C),26,SUI,"6'0""",80 kg,Balanced,Valladolid,£275K - £2.8M,6.78,0,0,-,0.97,0%,0,0.75,-,49.85,92%,0.39,11,0,0,-,0.78,80%,9,2,1,1.75,6,2,6.79,4.46,66%,0,-,3,11.9km,1,1,0,7,464,5,0,0,66.29,0,35,0,61.5km,0,23,9,2,278,257,5,4,30/6/2024,"£7,250 p/w",Right,0,0.97,0.15,5.43,12.61,3.3,1.75,0.39,2.13,0,5,-,-,-,0.39,-,-,2,-,-,-,-,-,0.15,-,0.75,Spanish First Division,Technical,Centre-back,Level-headed,0,-,1.16,0,0,0,2.33,0.19,-,0,0,53.92,0.19,0.39,0.15,-,,- - -
Linton Maina,M/AM (RL),25,GER,"5'8""",70 kg,Balanced,1. FC Köln,£1.3M - £2.7M,6.88,1,0,-,1.88,67%,1.25,0.84,-,28.12,84%,0.94,6,0,13,7%,2.81,100%,45,9,0,0.94,2,3,5.62,0.62,11%,0,2.81,3,12.6km,0,0,2,3 (5),288,6,0,0,36,4,18,1,40.4km,9,2,3,3,107,90,9,9,30/6/2024,"£14,000 p/w",Right,0,0.62,0.14,14.38,4.38,16.25,14.06,2.81,1.88,0.11,2,-,-,17%,0.94,-,-,3,-,-,-,-,-,0.26,-,0.84,Bundesliga 2,Technical,Winger,Media-friendly,0,-,0.62,4.06,0.31,0,5,0,8%,4.06,0.31,33.44,0,0,0.26,-,Wnt,- - -
Kazuya Konno,"M (R), AM (RL)",27,JPN,"5'3""",59 kg,Balanced,Fukuoka,£160K - £1.6M,7.26,5,0,-,1.64,43%,0.71,4.51,0.29,22.86,74%,0.54,47,4,25,16%,1.43,82%,166,36,0,0.75,13,44,2.07,0.29,14%,0,1.32,45,6.2km,4,0,3,28 (2),"2,520",46,8,0,84,20,58,4,173.8km,37,8,21,15,865,640,49,40,31/1/2024,"£13,250 p/w",Left,0,0.29,0.1,7.36,3.21,4.57,5.93,1.29,1.68,0.25,8,-,-,11%,0.54,-,-,15,-,-,-,-,-,0.16,-,4.51,J1 League,Technical,Winger,Media-friendly,1,0.14,0.46,0.89,0.14,0,1.79,0,16%,0.89,0.14,30.89,0,0.25,0.16,-,Wnt,- - -
Daizen Maeda,"AM (L), ST (C)",27,JPN,"5'8""",67 kg,Resolute,Celtic,£9M - £11M,7.11,4,0,-,1.85,39%,0.71,4.46,-,32.74,86%,1.67,46,1,41,17%,2.38,82%,205,55,0,1.73,14,12,5.42,0.71,13%,0,3.15,19,13.4km,0,0,5,17,"1,512",31,0,0,88.94,12,91,7,224.7km,53,12,29,28,640,550,49,40,31/5/2026,"£16,000 p/w",Right,0,0.24,0.14,16.9,4.29,18.33,12.2,3.27,2.74,0.03,4,-,-,13%,1.67,-,-,28,-,-,-,-,-,0.27,-,4.46,cinch Premiership,Leader,Dynamic winger,Reserved,0,0.06,0.83,2.44,0.42,0,4.7,0,17%,2.44,0.42,38.1,0,0.6,0.27,-,,- - -
Agustín Bouzat,"WB (L), M/AM (RL)",30,ARG,"5'7""",72 kg,Balanced,Vélez,£220K - £2.2M,7.14,1,0,-,1.95,37%,0.71,5.41,0.1,15.71,72%,-,0,0,0,-,1,84%,0,0,0,-,0,16,-,-,-,0,-,30,0.0km,0,0,0,20 (3),"1,890",41,2,0,82.17,15,0,0,0.0km,0,-,0,0,460,330,25,21,31/12/2025,"£15,500 p/w",Left,0,-,0.13,0,0,0,0,0,0,0.14,0,-,-,2%,0,-,-,0,-,-,-,-,-,0.26,-,5.41,Argentine Premier Division,Leader,Winger,Media-friendly,0,-,0,0,0,0,-,0,-,0,0,21.9,0,0,0.26,-,,- - -
Guélor Kanga,"DM, M/AM (C)",34,GAB,"5'6""",69 kg,Balanced,Crvena zvezda,£65K - £190K,6.88,0,0,-,1.78,40%,0.71,5.45,0.24,20.85,76%,0.53,22,3,1,-,0.83,74%,36,11,1,0.24,3,34,0.53,0.12,22%,0,0.12,26,2.9km,4,1,0,16 (2),"1,515",30,4,0,84.17,12,9,0,49.2km,2,2,4,9,462,351,19,14,30/6/2024,"£8,250 p/w",Right,0,0.06,0.18,2.61,3.21,1.43,2.14,0.65,1.31,0.13,1,-,-,-,0.53,-,-,9,-,-,-,-,-,0.32,-,5.45,Serbian SuperLeague,Technical,Cultured midfielder,Outspoken,0,0.18,0.18,0.06,0,0,0.42,0.06,0%,0.06,0,27.45,0,0,0.32,-,,- - -
Haris Hajradinović,M/AM (C),30,BIH,"5'10""",70 kg,Balanced,Kasımpaşa,£300K - £3M,6.83,0,0,-,1.42,50%,0.71,0.63,-,24.43,84%,0.71,14,1,7,14%,1.3,65%,51,14,0,1.19,0,10,2.49,0.12,5%,0,0.59,8,8.6km,0,0,2,8 (2),759,12,0,0,75.9,6,21,1,72.5km,5,1,10,6,246,206,17,11,30/6/2025,"£5,750 p/w",Left,0,-,0.05,7.83,5.22,12.92,6.05,1.66,1.66,0.11,0,-,-,-,0.71,-,-,6,-,-,-,-,-,0.07,-,0.63,Turkish Super League,Technical,Attacking midfielder,Level-headed,0,0.12,0,0.83,0.12,2,2.37,0,14%,0.83,0.12,29.17,0,0.47,0.07,-,,- - -
Takahiro Sekine,"WB (R), M/AM (RL)",29,JPN,"5'6""",61 kg,Fairly Professional,Urawa,£450K - £4.4M,6.94,1,0,-,1.49,48%,0.71,1.54,0.21,30.14,81%,0.78,24,3,34,17%,2.12,75%,144,42,1,1.56,6,30,4.6,1.63,35%,0,2.48,32,10.7km,0,0,3,15 (4),"1,272",21,3,0,66.95,10,65,6,151.3km,35,23,22,11,524,426,40,30,31/1/2026,"£7,250 p/w",Right,0,0.21,0.07,11.82,3.89,18.18,10.19,2.97,1.7,0.12,3,-,-,5%,0.78,-,-,11,-,-,-,-,-,0.11,-,1.54,J1 League,Technical,Winger,Level-headed,0,0.21,0.42,2.41,0.42,0,2.97,0.07,18%,2.41,0.42,37.08,0,0.64,0.11,-,,- - -
Leo Castledine,"M (C), AM (RLC), ST (C)",19,ENG,"5'11""",76 kg,Balanced,Shrewsbury,£13M - £19.5M,6.69,2,0,-,2.57,41%,1.06,2.03,0.15,29.9,88%,3.47,7,0,12,9%,1.81,100%,60,13,0,1.36,3,5,7.55,2.27,30%,0,0.76,8,11.2km,0,0,1,3 (14),596,17,1,0,35.06,7,50,1,74.2km,5,15,9,23,225,198,12,12,30/6/2026,"£8,500 p/w",Right,0.15,0.45,0.12,9.97,9.36,18.88,9.06,1.96,1.06,0.07,3,-,-,12%,0.6,-,-,4,-,-,-,-,-,0.31,-,2.03,Sky Bet League One,Leader,Attacking midfielder,Media-friendly,0,-,0.45,1.81,0.15,1,5.29,0,8%,1.66,0.15,33.98,0,0.6,0.31,-,,- - -
Denis Cheryshev,M/AM (L),33,RUS,"5'10""",74 kg,Balanced,Panionios,£20K - £200K,7.02,0,0,-,1.57,45%,0.71,2.39,0.07,12.93,65%,-,0,0,0,-,0.93,87%,0,0,0,-,0,15,-,-,-,0,-,19,0.0km,0,0,0,14,"1,260",22,1,0,90,10,0,0,0.0km,0,-,0,0,280,181,15,13,30/6/2024,"£2,500 p/w",Left,0,-,0.11,0,0,0,0,0,0,0.08,0,-,-,-,0,-,-,0,-,-,-,-,-,0.17,-,2.39,Greek National C Division Group 4,Technical,Experienced winger,Media-friendly,0,-,0,0,0,0,-,0,-,0,0,20,0,0,0.17,-,,- - -
Miguel Cardoso,AM (RLC),30,POR,"5'9""",71 kg,Balanced,Kayserispor,£150K - £1.5M,6.87,1,0,-,2,36%,0.71,3.82,0.21,14.43,72%,-,0,0,0,-,0.79,58%,0,0,0,-,0,6,-,-,-,0,-,9,0.0km,0,0,0,14,"1,260",28,3,0,90,10,0,0,0.0km,0,-,0,0,280,202,19,11,30/6/2026,"£3,900 p/w",Right,0,-,0.14,0,0,0,0,0,0,0,0,-,-,4%,0,-,-,0,-,-,-,-,-,0.27,-,3.82,Turkish Super League,Technical,Winger,Media-friendly,0,-,0,0,0,0,-,0,-,0,0,20,0,0,0.27,-,,- - -
